industry,digital_foundation,analytical_maturity,workforce_capability,governance_resilience,innovation_finance_capacity,barrier_pressure,readiness_index,challenge_index,challenge_rank_1_highest,ai_use_2024_25_pct,class
"Agriculture, Forestry and Fishing",14.551501386348889,14.775005672333648,1.0074123989218324,31.573814463283394,75.5249543517955,65.09649342805629,24.60847774126423,75.39152225873576,1,2.8,D - very high challenge
Mining,76.00288469287209,67.42192981825374,63.59739975850439,79.6378059553237,46.49539280568888,28.04122633698274,68.59126352575333,31.408736474246666,15,17.8,A - lower challenge
Manufacturing,67.12861452300739,32.13285255779621,30.9867145991715,42.427794585525106,65.36225187291853,66.02741350088966,42.388117284787334,57.611882715212666,6,9.3,C - high challenge
"Electricity, Gas, Water and Waste Services",60.85431452343883,50.000212381939455,64.64300346217026,55.02238050900638,52.444611004901304,35.42445242901823,58.46971803837521,41.53028196162479,13,15.4,B - moderate challenge
Construction,47.47532017636487,8.317951966293373,14.1748553108215,14.065916619873496,35.124763198601585,55.25570278840126,26.191082737038634,73.80891726296136,2,6.4,D - very high challenge
Wholesale Trade,73.75347683925537,60.61812689188753,55.054418018369056,51.78501830447173,51.01256559235172,84.23708138476839,50.219123535891875,49.780876464108125,12,13.9,B - moderate challenge
Retail Trade,66.68376817644028,39.25109550555198,45.16110640183329,33.12609869372668,53.362726606907906,67.31393387301286,43.727406298090315,56.272593701909685,8,9.2,C - high challenge
Accommodation and Food Services,56.69433638147279,25.68709867324875,30.427832761542327,11.525864350050334,70.5495293566474,87.56185182333961,30.998598967683506,69.0014010323165,5,5.2,D - very high challenge
"Transport, Postal and Warehousing",31.519334132299345,11.060566260661934,14.274332803572308,4.0626897389192465,15.066888331486126,18.574623169177354,28.19604759284278,71.80395240715723,3,1.0,D - very high challenge
Information Media and Telecommunications,91.95375884257224,73.04472869781478,88.03045268249456,74.08826077128344,51.105798786407746,60.73543505751101,70.08483208527879,29.91516791472121,16,38.1,A - lower challenge
Financial and Insurance Services,85.26910617614672,62.545993138386116,71.19630670413488,98.09040495585344,41.4763909112777,23.283312545868718,73.74336322025826,26.25663677974174,17,24.1,A - lower challenge
"Rental, Hiring and Real Estate Services",63.34310063337197,22.626839660838836,53.49501551966728,44.046106928757574,28.558627752176143,30.493444962261663,48.08992595318594,51.91007404681406,10,11.0,C - high challenge
"Professional, Scientific and Technical Services",87.16700197478029,40.85585502580471,62.32406231906487,78.26711725109054,25.522097326337796,27.382802820184207,62.526750521451476,37.473249478548524,14,24.1,B - moderate challenge
Administrative and Support Services,61.21401434651636,24.897704221006496,57.56670589464538,46.71871068023262,29.380731095235276,46.53978907348176,46.3129060719699,53.6870939280301,9,12.4,C - high challenge
Health Care and Social Assistance,74.23798313347496,33.61678428438787,48.296165609108634,62.66748216532011,49.40226258072587,62.070259160618235,49.4445841994675,50.5554158005325,11,17.4,C - high challenge
Arts and Recreation Services,75.04946065637611,40.60614603855155,34.718960861842355,27.22819388959132,64.7020053658882,68.92628071028983,43.09161395650475,56.90838604349525,7,16.5,C - high challenge
Other Services,48.85049971861244,17.392002777444365,18.468848912837682,4.456146447256947,47.29908522600188,49.90239542858574,29.917596699819853,70.08240330018015,4,8.6,D - very high challenge
