finding,value,unit
Retail AI use 2021-22,1.1,%
Retail AI use 2024-25,9.2,%
AI adoption change,8.1,percentage points
Retail online presence 2024-25,81.9,%
Retail online orders received 2024-25,53.1,%
Retail digital training 2024-25,10.2,%
Retail any ICT limitation 2024-25,42.7,%
Retail any cyber incident 2024-25,20.2,%
Retail challenge index,56.272593701909685,0-100 researcher-created
Retail challenge rank,8,1=highest among 17 industries
Best exploratory model,ElasticNet,model
Best model LOOCV MAE,3.691950154682717,percentage points
Retail business count June 2024,156938.0,businesses
Retail 4-year business survival,62.3,%
