variable,description,unit,period_available,transformation
active_data_decisions_pct,Active Data Decisions,percent,2024-25,Direct published value unless explicitly identified as a derived index.
adherence_to_standards_pct,Adherence To Standards,percent,2024-25,Direct published value unless explicitly identified as a derived index.
admin_privilege_restriction_pct,Admin Privilege Restriction,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
ai_use_pct,Ai Use,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
any_cyber_incident_pct,Any Cyber Incident,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
any_cyber_measure_pct,Any Cyber Measure,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
any_einvoice_pct,Any Einvoice,percent,2021-22,Direct published value unless explicitly identified as a derived index.
any_government_assistance_pct,Any Government Assistance,percent,2024-25,Direct published value unless explicitly identified as a derived index.
any_ict_limit_pct,Any Ict Limit,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
any_ict_management_practice_pct,Any Ict Management Practice,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
any_ict_pct,Any Ict,percent,2021-22,Direct published value unless explicitly identified as a derived index.
any_innovation_barrier_pct,Any Innovation Barrier,percent,2024-25,Direct published value unless explicitly identified as a derived index.
any_innovation_benefit_pct,Any Innovation Benefit,percent,2024-25,Direct published value unless explicitly identified as a derived index.
any_internet_connection_pct,Any Internet Connection,percent,2024-25,Direct published value unless explicitly identified as a derived index.
any_mobile_wireless_pct,Any Mobile Wireless,percent,2024-25,Direct published value unless explicitly identified as a derived index.
any_online_orders_received_pct,Any Online Orders Received,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
any_online_presence_pct,Any Online Presence,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
any_skill_shortage_pct,Any Skill Shortage,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
backup_pct,Backup,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
broadband_pct,Broadband,percent,2021-22,Direct published value unless explicitly identified as a derived index.
cable_pct,Cable,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
cloud_pct,Cloud,percent,2021-22 and 2024-25,Direct published value unless explicitly identified as a derived index.
