period,industry,admin_privilege_restriction_pct,ai_use_pct,any_cyber_incident_pct,any_cyber_measure_pct,any_ict_limit_pct,any_ict_management_practice_pct,any_ict_pct,any_skill_shortage_pct,backup_pct,cloud_pct,crm_pct,customer_service_skill_shortage_pct,cyber_security_software_pct,cyber_staff_training_pct,data_analytics_pct,data_analytics_skill_shortage_pct,digital_performance_targets_pct,digital_platforms_pct,digital_skill_shortage_pct,digital_training_pct,edi_pct,erp_pct,external_ict_consultants_pct,formal_cyber_policy_pct,human_resources_skill_shortage_pct,ict_limit_cost_benefit_pct,ict_limit_cyber_pct,ict_limit_funds_pct,ict_limit_skills_pct,ict_limit_technology_pct,ict_limit_understanding_pct,identity_access_management_pct,impersonation_pct,invested_digital_tech_pct,iot_pct,malware_pct,measured_digital_contribution_pct,patching_pct,recruited_advanced_digital_skills_pct,sales_marketing_skill_shortage_pct,scams_fraud_pct,security_monitoring_pct,supply_chain_skill_shortage_pct,unauthorised_access_pct,upgraded_cyber_pct,virus_protection_pct,internet_access_pct,broadband_pct,dialup_pct,dsl_pct,fibre_pct,cable_pct,mobile_3g4g_pct,mobile_5g_pct,fixed_wireless_pct,satellite_pct,speed_lt25_pct,speed_25_50_pct,speed_50_100_pct,speed_100_250_pct,speed_250_1000_pct,speed_1000plus_pct,internet_sufficient_pct,internet_mostly_sufficient_pct,internet_mostly_insufficient_pct,internet_insufficient_pct,website_app_pct,third_party_presence_pct,social_media_pct,any_online_presence_pct,orders_marketplace_pct,orders_edi_pct,any_online_orders_received_pct,internet_income_lt1_pct,internet_income_1_2_pct,internet_income_2_5_pct,internet_income_5_10_pct,internet_income_10_50_pct,internet_income_50plus_pct,structured_einvoice_pct,any_einvoice_pct,online_orders_placed_pct
2021-22,"Agriculture, Forestry and Fishing",11.6,0.0,20.4,72.3,48.6,32.2,84.8,34.6,30.2,51.3,4.8,1.6,65.4,3.1,5.0,0.9,0.0,45.8,5.7,2.8,8.5,3.6,4.4,0.9,11.0,10.9,3.0,7.2,18.9,25.5,21.2,14.6,0.7,17.9,11.8,1.7,0.0,6.5,1.0,2.6,17.6,6.3,3.8,2.6,5.7,64.2,99.8,99.8,1.3,11.9,17.3,6.0,64.4,15.0,19.2,35.6,33.0,32.4,19.5,8.0,4.2,2.9,35.7,43.5,14.0,6.8,13.0,5.6,22.1,30.1,4.7,6.9,15.4,49.6,,,1.1,16.0,26.3,11.0,59.8,60.5
2021-22,Mining,44.8,1.6,27.5,82.3,32.6,42.1,90.8,43.1,60.7,71.9,11.2,,75.3,22.1,14.8,2.4,1.9,58.5,3.1,7.6,14.1,19.7,16.9,22.3,12.0,11.0,3.2,7.8,16.9,16.6,8.1,38.7,14.3,23.2,11.2,5.1,3.8,29.6,4.4,2.1,17.6,28.5,2.8,3.3,18.7,75.8,96.4,96.4,0.1,27.5,48.7,7.5,59.9,40.2,24.5,19.0,9.1,22.3,36.0,18.5,8.1,6.0,52.1,32.4,7.7,7.8,60.9,3.0,38.5,67.2,5.5,6.3,15.2,62.0,,,,20.3,17.7,6.3,72.5,63.1
2021-22,Manufacturing,34.1,1.5,25.1,77.4,39.4,36.4,87.0,41.7,50.5,64.3,18.0,5.8,68.7,17.3,3.8,4.1,2.0,53.7,7.2,8.9,17.1,9.6,10.0,11.2,6.7,17.3,2.9,7.0,16.3,12.5,13.7,19.8,10.2,18.3,9.2,5.2,3.9,20.4,3.9,7.4,17.2,17.7,7.4,4.9,14.2,66.9,99.2,99.2,0.8,30.5,42.7,7.7,49.3,29.9,19.9,3.5,16.4,31.7,26.8,11.2,8.8,5.1,52.8,37.8,8.0,1.4,71.9,11.7,51.3,82.0,11.9,13.0,37.3,35.1,,,10.4,15.2,35.7,14.1,81.2,70.3
2021-22,"Electricity, Gas, Water and Waste Services",20.6,1.9,19.1,73.3,40.1,34.3,90.5,42.4,39.4,72.7,20.8,9.9,66.3,14.8,8.8,5.1,1.6,55.2,5.2,7.1,16.0,10.5,10.9,11.5,9.1,12.6,2.5,7.5,19.0,13.8,11.9,25.4,5.2,20.3,12.0,3.2,5.0,20.8,3.5,6.6,13.2,18.6,4.4,1.3,11.9,66.7,96.7,96.7,1.5,29.4,40.5,10.5,60.4,33.3,17.1,4.0,15.6,30.1,24.6,16.7,7.5,5.4,50.0,36.1,8.4,5.4,65.7,8.7,41.0,73.2,7.3,8.5,33.4,35.8,,,9.3,25.3,27.5,10.3,75.2,51.6
2021-22,Construction,14.4,0.4,22.4,61.1,34.4,17.6,82.8,34.6,23.3,54.2,7.6,3.2,54.1,6.1,1.0,1.4,0.3,45.5,4.4,2.2,11.2,1.1,4.0,2.9,6.1,12.0,4.6,5.9,14.4,10.7,15.0,10.3,3.3,7.2,6.3,5.8,1.7,7.9,0.7,3.5,17.1,6.7,6.0,3.5,4.4,53.7,98.3,98.3,0.2,20.6,37.5,8.1,59.6,31.6,19.2,2.9,18.2,35.7,26.4,10.8,7.3,1.5,55.9,29.5,10.0,4.5,33.0,7.8,33.2,50.8,5.0,6.5,20.1,47.8,,,5.1,21.6,25.5,10.7,82.1,45.6
2021-22,Wholesale Trade,28.5,2.3,29.7,81.1,44.2,43.7,90.4,40.5,52.0,62.6,27.9,8.9,74.4,19.3,6.3,6.7,4.8,58.3,7.8,7.7,26.8,13.4,16.3,11.1,9.1,16.6,7.3,14.5,23.5,11.9,17.3,25.2,6.3,22.0,9.5,7.2,6.5,28.7,5.9,12.3,17.9,18.1,7.8,3.5,15.6,72.6,98.1,97.5,1.6,26.9,39.6,13.9,47.7,35.7,15.6,2.5,11.3,22.9,35.1,17.5,9.7,3.4,59.2,33.7,4.6,2.5,67.8,14.9,47.7,80.2,12.4,16.2,52.5,22.5,2.1,4.0,6.7,24.6,40.1,21.2,77.3,60.6
2021-22,Retail Trade,23.4,1.1,23.3,66.7,43.3,35.4,84.9,44.8,35.6,58.6,19.7,16.8,62.1,9.5,6.2,7.1,6.1,65.2,8.7,9.8,15.7,5.5,8.3,5.1,10.5,15.3,2.8,13.3,15.2,11.7,15.1,17.4,5.7,18.8,6.4,6.6,5.8,20.7,4.3,11.6,15.4,15.0,9.0,2.7,10.6,59.4,98.5,98.5,1.2,27.9,35.7,9.4,47.1,31.4,18.2,3.5,14.2,34.2,23.8,16.9,8.1,2.8,53.2,36.1,8.6,2.0,58.1,20.1,71.8,84.3,16.9,6.0,52.5,29.9,,,6.4,23.5,33.6,15.3,59.4,72.1
2021-22,Accommodation and Food Services,17.3,1.0,14.4,50.7,49.4,25.3,74.5,55.8,20.6,44.6,7.9,40.9,44.1,4.3,3.5,4.4,1.5,57.7,7.2,5.1,5.6,1.6,5.1,3.0,14.1,22.4,6.1,18.1,21.8,18.1,15.8,17.1,3.6,14.5,5.2,2.7,3.3,10.7,1.7,11.2,11.9,7.1,10.7,1.8,5.0,42.6,96.1,96.1,0.9,24.3,30.9,6.5,39.4,25.2,21.7,3.8,20.4,34.8,24.5,11.4,4.8,4.1,42.1,42.6,9.8,5.5,53.2,45.1,67.0,84.1,44.9,3.5,61.9,29.8,,,7.0,44.4,14.7,9.4,40.6,57.1
2021-22,"Transport, Postal and Warehousing",14.2,0.1,15.7,63.9,32.0,26.8,73.2,27.5,27.7,39.7,4.4,6.5,52.8,8.9,3.4,1.8,1.4,38.6,3.8,6.6,11.5,5.6,4.2,5.3,12.6,9.9,1.5,7.9,12.9,11.6,6.4,12.2,3.1,10.8,3.9,4.0,1.3,15.0,1.8,2.8,14.0,8.8,4.8,1.2,9.1,50.9,93.8,93.8,0.4,29.7,26.2,6.5,57.5,32.3,20.3,8.3,23.5,23.0,31.4,14.8,5.0,2.3,59.2,31.7,3.5,5.6,22.4,10.6,23.3,43.5,8.1,2.3,15.6,41.3,,,,29.4,28.0,14.8,61.5,43.4
2021-22,Information Media and Telecommunications,36.1,7.7,26.1,79.6,35.5,54.2,92.6,37.0,58.5,76.4,31.0,7.4,64.4,23.8,17.0,8.3,7.9,71.5,14.8,16.0,11.1,6.4,10.7,17.9,4.7,8.5,4.0,13.4,13.5,11.5,5.4,34.7,6.5,38.3,10.7,7.8,6.1,38.9,6.3,15.3,15.5,29.2,3.5,2.9,16.7,62.4,99.3,99.3,1.3,23.6,59.4,15.8,48.2,35.1,16.6,2.3,6.0,27.3,28.4,14.8,16.3,7.3,46.9,40.3,7.7,5.1,70.7,14.1,64.3,82.3,10.9,8.1,35.6,34.1,,,4.3,14.6,42.8,17.2,75.3,67.7
