period,category,measure,value_pct,denominator,publisher,source_url,note
2025-09 to 2025-11,AI adoption,SMEs reporting some level of AI adoption,45.0,percent of SMEs,National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2025-12 to 2026-02,AI adoption,SMEs reporting some level of AI adoption,43.0,percent of SMEs,National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2026-02,AI adoption,SMEs reporting some level of AI adoption,44.0,percent of SMEs,National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2025-12 to 2026-02,Non-adoption barrier,Distrust in AI decisions or preference for human control,65.0,percent of non-adopting SMEs (approximately),National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2025-12 to 2026-02,Non-adoption barrier,AI perceived as not relevant,54.0,percent of non-adopting SMEs,National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2025-12 to 2026-02,Non-adoption barrier,Do not know how to use AI,19.0,percent of SMEs,National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2025-12 to 2026-02,AI application,Content generation,54.0,percent of adopters/current or planned users,National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2025-12 to 2026-02,AI application,Data analytics,54.0,percent of adopters/current or planned users,National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2025-12 to 2026-02,AI application,Cybersecurity and threat detection,48.0,percent of adopters/current or planned users,National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
2025-12 to 2026-02,Responsible AI practice,Checking AI outputs before customer impact,50.0,percent of current AI users (approximately),National AI Centre,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published survey summary; monthly waves survey at least 400 Australian SME owners/decision-makers and are weighted by industry, state and employee size."
