period,industry,category,variable,measure,value_pct,unit,publication_flag,publisher,source_table,source_file,source_url,denominator_note
2021-22,"Agriculture, Forestry and Fishing",technology,crm_pct,Customer Relationship Management software,4.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,erp_pct,Enterprise Resource Planning software,3.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,edi_pct,Electronic Data Interchange,8.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,digital_platforms_pct,Any digital platforms,45.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,cloud_pct,Cloud technology,51.3,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,cyber_security_software_pct,Cyber security software,65.4,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,data_analytics_pct,Data analytics,5.0,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,iot_pct,Internet of Things,11.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,ai_use_pct,Artificial intelligence use,0.0,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Agriculture, Forestry and Fishing",technology,any_ict_pct,Any ICT used,84.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Mining,technology,crm_pct,Customer Relationship Management software,11.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
