date,employment_000,wages_m,labour_costs_m,sales_service_income_m,total_income_m,purchases_m,total_expenses_m,operating_profit_m,ebitda_m,industry_value_added_m,financial_year,profit_margin_pct,iva_per_employee_000,wages_per_employee_000,income_growth_pct,employment_growth_pct
2007-06-01,1183.7,28705.0,33589.0,301997.0,304880.0,215876.0,289458.0,16461.0,17817.0,52818.0,2006-07,5.39917344528995,44.621103320097994,24.25023232237898,,
2008-06-01,1252.1,32064.0,37248.0,316124.0,319037.0,228486.0,305565.0,15751.0,17984.0,56558.0,2007-08,4.937044919554785,45.17051353725741,25.608178260522326,4.6434662818158,5.778491171749578
2009-06-01,1259.8,34067.0,39144.0,342615.0,345930.0,247851.0,328631.0,17503.0,19767.0,60325.0,2008-09,5.059694157777585,47.88458485473885,27.041593903794254,8.429429815350575,0.6149668556824528
2010-06-01,1297.0,35143.0,40298.0,354139.0,357084.0,254559.0,340692.0,18978.0,21829.0,63863.0,2009-10,5.314715865174581,49.23901310717039,27.095605242868157,3.224351747463361,2.9528496586759934
2011-06-01,1346.0,37623.0,43244.0,368746.0,372975.0,261128.0,353608.0,19860.0,22546.0,67779.0,2010-11,5.324753669817012,50.355869242199105,27.951708766716195,4.450213395167513,3.7779491133384635
2012-06-01,1307.1,39422.0,45280.0,376452.0,380368.0,262663.0,360955.0,19504.0,23436.0,70603.0,2011-12,5.127665839397636,54.014995027159365,30.159895952872773,1.9821703867551443,-2.890044576523043
2013-06-01,1319.6,40190.0,46066.0,376961.0,380726.0,262990.0,362040.0,19417.0,22661.0,70618.0,2012-13,5.099993170941832,53.51470142467415,30.456198848135802,0.0941193791275774,0.956315507612282
2014-06-01,1278.0,40372.0,46435.0,382772.0,386619.0,271321.0,368780.0,18307.0,21094.0,70143.0,2013-14,4.735152695547813,54.8849765258216,31.58998435054773,1.5478322993438764,-3.1524704455895614
2015-06-01,1291.6,41076.0,47141.0,387074.0,389935.0,277350.0,372976.0,18724.0,22176.0,71481.0,2014-15,4.801825945349866,55.34298544441004,31.80241560854754,0.8576919396098059,1.064162754303588
2016-06-01,1299.4,42618.0,48954.0,405653.0,406772.0,291686.0,390419.0,17345.0,22213.0,73556.0,2015-16,4.264059473120077,56.60766507618901,32.798214560566414,4.317899137035663,0.6039021368845043
2017-06-01,1283.4,43863.0,50522.0,416128.0,418413.0,298412.0,400674.0,18847.0,22786.0,75561.0,2016-17,4.504401153883842,58.87564282374941,34.17718560074801,2.8617997305615983,-1.2313375404032656
2018-06-01,1310.1,45453.0,52364.0,434818.0,436174.0,311675.0,420498.0,16682.0,22886.0,77376.0,2017-18,3.8246204496370715,59.061140370964054,34.69429814517976,4.244848988917638,2.0804114071996116
2019-06-01,1330.8,47704.0,54836.0,452372.0,454943.0,321148.0,439111.0,17582.0,23169.0,80273.0,2018-19,3.8646599683916447,60.31935677787797,35.846107604448456,4.303099221870177,1.5800320586214722
2020-06-01,1336.5,49207.0,56244.0,469522.0,475433.0,328202.0,449179.0,23105.0,32182.0,82922.0,2019-20,4.859780452766215,62.04414515525627,36.8178077066966,4.503860923236536,0.4283137962127981
2021-06-01,1387.3,52517.0,59902.0,507241.0,517987.0,358377.0,487365.0,32283.0,40384.0,91085.0,2020-21,6.23239579371683,65.6563108195776,37.85554674547683,8.950577683921823,3.8009726898615703
2022-06-01,1420.4,56482.0,64753.0,561219.0,567427.0,402235.0,538227.0,33220.0,41997.0,102726.0,2021-22,5.854497582948996,72.32188116023654,39.76485497043086,9.544641081725992,2.3859295033518357
2023-06-01,1478.0,62814.0,72559.0,612842.0,618455.0,435904.0,584951.0,38108.0,49064.0,118013.0,2022-23,6.161806437008352,79.84641407307171,42.49932341001353,8.992874854386557,4.055195719515625
2024-06-01,1502.0,66330.0,77058.0,642319.0,647528.0,448468.0,611873.0,38250.0,50862.0,124393.0,2023-24,5.907080466018458,82.81824234354194,44.16111850865513,4.700907907608487,1.6238159675236785
2025-06-01,1493.8,68231.0,79878.0,660121.0,665563.0,459680.0,629481.0,38808.0,53077.0,128427.0,2024-25,5.830852977103595,85.97335654036685,45.676127995715625,2.7852077439122214,-0.5459387483355505
