variable,retail_2021_22_pct,retail_2024_25_pct,percentage_point_change
mobile_5g_pct,31.4,47.7,16.300000000000004
internet_income_5_10_pct,6.4,16.9,10.499999999999998
identity_access_management_pct,17.4,27.3,9.900000000000002
cloud_pct,58.6,67.3,8.699999999999996
ai_use_pct,1.1,9.2,8.1
cyber_staff_training_pct,9.5,17.2,7.699999999999999
internet_sufficient_pct,53.2,59.6,6.399999999999999
measured_digital_contribution_pct,5.8,11.3,5.500000000000001
patching_pct,20.7,26.1,5.400000000000002
formal_cyber_policy_pct,5.1,9.3,4.200000000000001
website_app_pct,58.1,62.3,4.199999999999996
satellite_pct,3.5,7.4,3.9000000000000004
any_cyber_measure_pct,66.7,70.1,3.3999999999999915
ict_limit_skills_pct,15.2,18.4,3.1999999999999993
upgraded_cyber_pct,10.6,11.6,1.0
digital_performance_targets_pct,6.1,7.1,1.0
security_monitoring_pct,15.0,15.9,0.9000000000000004
digital_platforms_pct,65.2,66.0,0.7999999999999972
any_online_orders_received_pct,52.5,53.1,0.6000000000000014
fibre_pct,35.7,36.2,0.5
orders_edi_pct,6.0,6.4,0.40000000000000036
data_analytics_pct,6.2,6.6,0.39999999999999947
digital_training_pct,9.8,10.2,0.3999999999999986
ict_limit_technology_pct,11.7,12.0,0.3000000000000007
unauthorised_access_pct,2.7,3.0,0.2999999999999998
scams_fraud_pct,15.4,15.7,0.29999999999999893
iot_pct,6.4,6.6,0.1999999999999993
ict_limit_funds_pct,13.3,13.3,0.0
sales_marketing_skill_shortage_pct,11.6,11.3,-0.29999999999999893
recruited_advanced_digital_skills_pct,4.3,3.9,-0.3999999999999999
cable_pct,9.4,8.9,-0.5
any_ict_limit_pct,43.3,42.7,-0.5999999999999943
virus_protection_pct,59.4,58.7,-0.6999999999999957
online_orders_placed_pct,72.1,71.3,-0.7999999999999972
dsl_pct,27.9,26.8,-1.0999999999999979
backup_pct,35.6,34.5,-1.1000000000000014
admin_privilege_restriction_pct,23.4,22.2,-1.1999999999999993
internet_insufficient_pct,2.0,0.7,-1.3
external_ict_consultants_pct,8.3,7.0,-1.3000000000000007
erp_pct,5.5,4.1,-1.4000000000000004
ict_limit_cyber_pct,2.8,1.3,-1.4999999999999998
internet_mostly_insufficient_pct,8.6,6.7,-1.8999999999999995
crm_pct,19.7,17.6,-2.099999999999998
edi_pct,15.7,13.5,-2.1999999999999993
any_online_presence_pct,84.3,81.9,-2.3999999999999915
internet_income_50plus_pct,33.6,31.2,-2.400000000000002
ict_limit_cost_benefit_pct,15.3,12.6,-2.700000000000001
malware_pct,6.6,3.8,-2.8
internet_mostly_sufficient_pct,36.1,33.1,-3.0
fixed_wireless_pct,18.2,15.1,-3.0999999999999996
any_cyber_incident_pct,23.3,20.2,-3.1000000000000014
impersonation_pct,5.7,2.5,-3.2
internet_income_10_50_pct,23.5,19.5,-4.0
ict_limit_understanding_pct,15.1,11.0,-4.1
orders_marketplace_pct,16.9,12.7,-4.199999999999999
digital_skill_shortage_pct,8.7,3.4,-5.299999999999999
data_analytics_skill_shortage_pct,7.1,1.7,-5.3999999999999995
supply_chain_skill_shortage_pct,9.0,3.3,-5.7
social_media_pct,71.8,66.0,-5.799999999999997
customer_service_skill_shortage_pct,16.8,11.0,-5.800000000000001
third_party_presence_pct,20.1,13.9,-6.200000000000001
invested_digital_tech_pct,18.8,12.3,-6.5
human_resources_skill_shortage_pct,10.5,3.5,-7.0
internet_income_lt1_pct,29.9,21.1,-8.799999999999997
any_skill_shortage_pct,44.8,35.6,-9.199999999999996
any_ict_management_practice_pct,35.4,25.9,-9.5
mobile_3g4g_pct,47.1,30.9,-16.200000000000003
internet_income_1_2_pct,,2.9,
internet_income_2_5_pct,,8.4,
