date,total_original,food_retailing_sa,household_goods_retailing_sa,clothing_footwear_and_personal_accessory_retailing_sa,department_stores_sa,other_retailing_sa,cafes_restaurants_and_takeaway_food_services_sa,total_seasonally_adjusted,total_trend,year,month,total_sa_yoy_pct,total_sa_12m_ma
1982-04-01,3396.4,1166.8,653.4,360.6,480.4,507.8,349.7,3518.7,3523.4,1982,4,,
1982-05-01,3497.9,1178.2,648.7,362.5,489.9,502.2,346.3,3527.6,3533.6,1982,5,,
1982-06-01,3357.8,1203.4,655.7,365.1,479.8,506.8,350.8,3561.5,3547.0,1982,6,,
1982-07-01,3486.8,1209.5,660.5,361.9,476.9,503.6,341.5,3553.9,3560.6,1982,7,,
1982-08-01,3355.9,1198.2,659.8,359.2,516.1,505.9,342.6,3581.8,3573.6,1982,8,,
1982-09-01,3454.3,1217.8,661.6,363.8,485.3,506.2,346.5,3581.2,3586.7,1982,9,,
1982-10-01,3551.5,1242.1,649.5,359.0,483.0,507.9,354.1,3595.6,3605.8,1982,10,,
1982-11-01,3830.5,1260.1,658.1,375.0,488.8,509.5,360.1,3651.7,3637.7,1982,11,,
1982-12-01,5179.7,1245.4,670.3,375.8,479.2,517.9,361.8,3650.4,3681.0,1982,12,,
1983-01-01,3384.5,1240.9,703.2,386.2,470.4,525.7,369.4,3695.6,3729.5,1983,1,,
1983-02-01,3369.8,1311.9,712.4,379.1,503.3,536.4,377.9,3821.0,3773.4,1983,2,,
1983-03-01,3805.3,1293.2,728.2,395.2,503.3,536.9,366.0,3822.8,3807.6,1983,3,,3630.15
1983-04-01,3665.1,1301.1,722.3,423.9,537.5,536.0,364.4,3885.2,3831.1,1983,4,10.415778554579823,3660.691666666667
1983-05-01,3760.0,1293.7,710.0,390.3,494.0,538.4,366.7,3793.2,3848.5,1983,5,7.529198321805186,3682.8249999999994
1983-06-01,3630.8,1308.6,713.9,396.2,505.2,546.1,369.3,3839.4,3865.1,1983,6,7.802892039870835,3705.983333333333
1983-07-01,3686.5,1330.6,706.1,402.0,507.4,549.1,375.9,3871.1,3885.6,1983,7,8.92540589211852,3732.4166666666665
1983-08-01,3816.3,1349.4,733.8,406.3,516.8,559.8,379.4,3945.5,3912.6,1983,8,10.154112457423636,3762.725
1983-09-01,3823.4,1353.3,727.2,418.2,508.2,564.4,380.0,3951.4,3942.9,1983,9,10.33731710041328,3793.5750000000003
1983-10-01,3878.7,1362.2,739.9,406.2,526.6,565.3,372.2,3972.3,3971.4,1983,10,10.47669373678941,3824.9666666666667
1983-11-01,4211.5,1377.3,744.2,399.1,521.0,567.0,374.8,3983.3,3996.3,1983,11,9.080702138729912,3852.6
1983-12-01,5684.3,1383.1,750.3,413.5,515.2,572.5,383.1,4017.6,4018.8,1983,12,10.05917159763312,3883.2000000000003
1984-01-01,3698.5,1368.8,771.5,421.1,510.0,576.7,391.2,4039.3,4040.1,1984,1,9.300248944690992,3911.8416666666667
1984-02-01,3733.2,1368.9,768.7,421.4,531.1,577.8,393.3,4061.2,4061.2,1984,2,6.2863124836430195,3931.8583333333336
1984-03-01,4010.9,1363.0,773.5,444.0,534.6,582.7,401.1,4098.9,4082.3,1984,3,7.222454745212925,3954.8666666666663
1984-04-01,3788.4,1402.3,734.4,430.9,542.3,584.1,403.8,4097.7,4101.7,1984,4,5.469473900957489,3972.5750000000003
1984-05-01,4242.3,1400.5,741.7,431.6,547.7,589.3,411.5,4122.3,4120.1,1984,5,8.676051882315727,4000.0
1984-06-01,3872.1,1407.0,731.3,419.1,545.6,585.6,404.5,4093.2,4139.1,1984,6,6.610407876230662,4021.15
1984-07-01,3978.0,1427.7,763.3,434.4,593.7,595.8,408.8,4223.6,4160.4,1984,7,9.105938880421593,4050.525
1984-08-01,4096.1,1425.5,750.3,434.1,559.4,589.1,406.8,4165.1,4184.7,1984,8,5.565834494994304,4068.8250000000003
1984-09-01,3901.4,1427.3,751.7,429.0,579.5,596.6,408.8,4192.8,4212.2,1984,9,6.109227109378956,4088.941666666667
1984-10-01,4274.0,1442.5,762.7,440.0,576.9,608.4,414.2,4244.7,4241.5,1984,10,6.857488105128007,4111.641666666666
1984-11-01,4557.1,1456.7,775.7,442.9,578.2,617.5,416.0,4287.0,4270.9,1984,11,7.6243315843647075,4136.95
1984-12-01,5847.5,1469.1,778.3,441.2,581.0,612.9,419.1,4301.7,4303.0,1984,12,7.071385902031069,4160.625
1985-01-01,4130.0,1488.4,764.1,455.0,596.2,618.4,418.9,4341.1,4339.8,1985,1,7.4715916124080906,4185.775000000001
1985-02-01,3856.8,1492.6,766.4,466.5,607.1,620.9,425.8,4379.3,4383.3,1985,2,7.832660297449046,4212.283333333333
1985-03-01,4196.9,1497.5,793.2,459.6,604.6,624.2,427.6,4406.6,4431.0,1985,3,7.506892093000572,4237.925
1985-04-01,4228.9,1513.3,813.9,467.3,624.7,621.6,436.0,4476.7,4482.6,1985,4,9.249090953461693,4269.508333333333
1985-05-01,4739.1,1535.3,831.3,481.0,656.1,632.5,440.4,4576.7,4535.2,1985,5,11.02297261237657,4307.375
1985-06-01,4190.3,1543.0,829.8,487.8,633.0,639.1,442.3,4575.1,4586.1,1985,6,11.773184794292991,4347.533333333334
1985-07-01,4514.6,1589.5,834.2,486.0,636.6,648.0,455.1,4649.3,4635.5,1985,7,10.079079458282036,4383.008333333333
1985-08-01,4566.3,1574.0,832.4,493.5,639.6,651.9,464.1,4655.3,4684.6,1985,8,11.769225228685976,4423.858333333334
1985-09-01,4380.3,1606.7,851.6,490.0,646.4,656.4,470.6,4721.8,4734.3,1985,9,12.616867010112575,4467.941666666667
1985-10-01,4857.7,1627.2,864.4,509.2,649.0,657.3,481.0,4788.2,4779.9,1985,10,12.80420288830777,4513.233333333334
1985-11-01,5105.0,1623.0,890.5,519.3,644.3,669.9,484.3,4831.2,4814.7,1985,11,12.694191742477257,4558.583333333333
1985-12-01,6628.2,1647.2,895.3,515.4,652.3,681.0,486.0,4877.1,4839.5,1985,12,13.376107120440771,4606.533333333334
1986-01-01,4674.9,1652.5,870.5,498.5,664.1,681.7,493.5,4860.9,4860.4,1986,1,11.973923659901843,4649.849999999999
1986-02-01,4294.1,1666.7,874.8,505.6,647.9,692.0,492.7,4879.8,4884.9,1986,2,11.428767154568087,4691.558333333333
1986-03-01,4528.0,1678.8,862.4,479.8,625.8,679.3,500.5,4826.5,4919.1,1986,3,9.528888485453635,4726.55
1986-04-01,4729.0,1694.8,897.9,511.1,643.8,701.3,511.6,4960.5,4967.1,1986,4,10.807067706122808,4766.866666666667
1986-05-01,5261.9,1723.9,918.2,533.9,705.7,708.3,528.0,5118.0,5024.2,1986,5,11.827299145672644,4811.975
1986-06-01,4637.8,1750.8,922.9,518.0,632.6,712.3,524.4,5060.9,5080.1,1986,6,10.6183471399532,4852.458333333333
1986-07-01,4989.5,1743.1,907.5,511.9,690.2,711.8,530.9,5095.5,5125.6,1986,7,9.597143656034234,4889.641666666667
1986-08-01,4923.8,1757.4,945.8,531.1,688.8,723.4,548.5,5195.0,5156.7,1986,8,11.593237814963576,4934.616666666667
1986-09-01,4962.2,1769.7,918.0,523.0,705.9,725.6,546.2,5188.3,5177.8,1986,9,9.87970689143971,4973.491666666667
1986-10-01,5305.1,1763.4,918.4,522.2,685.1,737.4,550.9,5177.3,5196.8,1986,10,8.126226974646023,5005.916666666667
1986-11-01,5303.5,1787.6,920.1,530.1,669.6,736.5,555.1,5199.0,5220.3,1986,11,7.613015399900647,5036.566666666667
1986-12-01,7340.0,1782.8,917.2,536.1,715.7,741.6,559.3,5252.8,5247.4,1986,12,7.703348301244595,5067.875
1987-01-01,5065.3,1807.4,928.9,518.6,705.8,753.0,563.2,5277.0,5275.2,1987,1,8.560143183361113,5102.55
1987-02-01,4679.8,1830.8,930.8,528.3,702.8,759.6,570.9,5323.2,5306.3,1987,2,9.0864379687692,5139.5
1987-03-01,4993.0,1833.7,939.2,538.4,711.8,756.9,563.9,5344.0,5341.5,1987,3,10.722055319589764,5182.625
1987-04-01,5166.0,1827.9,936.9,539.4,708.2,782.6,571.5,5366.6,5380.2,1987,4,8.186674730369937,5216.466666666666
1987-05-01,5386.3,1847.9,945.1,552.5,710.3,781.4,575.9,5413.0,5423.8,1987,5,5.763970300898791,5241.05
1987-06-01,5118.9,1854.2,951.4,551.3,723.2,789.0,576.4,5445.4,5470.8,1987,6,7.597462901855412,5273.091666666666
1987-07-01,5494.6,1850.9,976.6,575.0,760.9,792.2,598.3,5553.8,5519.7,1987,7,8.99421057796095,5311.283333333333
1987-08-01,5236.7,1881.4,998.6,574.8,724.3,804.3,598.3,5581.7,5564.9,1987,8,7.443695861405186,5343.508333333333
1987-09-01,5395.1,1883.5,1008.0,586.0,714.1,804.0,599.6,5595.2,5601.9,1987,9,7.842645953395122,5377.416666666667
1987-10-01,5744.4,1888.8,1032.5,577.4,720.6,801.0,605.8,5626.2,5630.0,1987,10,8.670542560794225,5414.825
1987-11-01,5745.0,1915.6,1030.8,569.1,720.0,804.5,612.8,5652.9,5652.9,1987,11,8.730525100980957,5452.65
1987-12-01,8022.4,1934.7,1032.7,570.7,739.3,810.7,623.0,5711.1,5677.6,1987,12,8.724870545233031,5490.841666666667
1988-01-01,5304.4,1904.1,1032.4,559.0,758.8,801.2,603.8,5659.4,5711.3,1988,1,7.246541595603562,5522.708333333333
