source_name,publisher,reference_period,file_name,official_url,role_in_study
ABS BCS 2021-22 ICT,Australian Bureau of Statistics,2021-22,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2021-22 Skills,Australian Bureau of Statistics,2021-22,ABS_2021_22_Skills.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO004_202122.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2021-22 Cyber security,Australian Bureau of Statistics,2021-22,ABS_2021_22_Cyber_Security.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO008_202122.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2021-22 Internet connectivity,Australian Bureau of Statistics,2021-22,ABS_2021_22_Internet_Connectivity.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO005_202122.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2021-22 Online presence and e-commerce,Australian Bureau of Statistics,2021-22,ABS_2021_22_Online_Presence_Ecommerce.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO006_202122.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
"ABS BCS 2024-25 Business profile, practices and performance",Australian Bureau of Statistics,2024-25,ABS_2024_25_Business_Profile_Practices_Performance.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC01_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2024-25 Business finance and assistance,Australian Bureau of Statistics,2024-25,ABS_2024_25_Business_Finance_Assistance.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC02_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2024-25 Skills,Australian Bureau of Statistics,2024-25,ABS_2024_25_Skills.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC03_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2024-25 Internet connectivity and activities,Australian Bureau of Statistics,2024-25,ABS_2024_25_Internet_Connectivity_Activities.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC04_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2024-25 Cyber security,Australian Bureau of Statistics,2024-25,ABS_2024_25_Cyber_Security.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC05_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2024-25 ICT,Australian Bureau of Statistics,2024-25,ABS_2024_25_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC06_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2024-25 Innovation activity,Australian Bureau of Statistics,2024-25,ABS_2024_25_Innovation_Activity.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC08_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2024-25 Innovation expenditure and funding,Australian Bureau of Statistics,2024-25,ABS_2024_25_Innovation_Expenditure_Funding.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC10_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS BCS 2024-25 Innovation assessment,Australian Bureau of Statistics,2024-25,ABS_2024_25_Innovation_Assessment.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2024-25/BCSDC11_2024%E2%80%9325.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS Retail Trade monthly turnover,Australian Bureau of Statistics,1982-2025,ABS_Retail_Trade_Monthly_Turnover_1982_2025.xlsx,https://www.abs.gov.au/statistics/industry/retail-and-wholesale-trade/retail-trade-australia/may-2025/850101.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS Australian Industry retail time series,Australian Bureau of Statistics,2006-07 to 2024-25,ABS_Australian_Industry_Retail_Time_Series_2006_2025.xlsx,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/2024-25/81550TSSDIVG.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
ABS Counts of Australian Businesses,Australian Bureau of Statistics,2020-2024,ABS_Counts_Businesses_Entries_Exits_2010_2024.xlsx,https://www.abs.gov.au/statistics/economy/business-indicators/counts-australian-businesses-including-entries-and-exits/jul2020-jun2024/8165DC01.xlsx,"Published secondary data used for extraction, contextual triangulation, or modelling."
National AI Centre SME AI Pulse,National AI Centre,Dec 2025-Feb 2026,Published web report,https://www.ai.gov.au/news-and-insights/blog/ai-adoption-insights-december-2025-february-2026,"Published secondary data used for extraction, contextual triangulation, or modelling."
